date,post_id,biz_type,periods,amount,wkd
2018-01-01,A,A5,1,0,2
2018-01-01,A,A5,2,0,2
2018-01-01,A,A5,3,0,2
2018-01-01,A,A5,4,0,2
2018-01-01,A,A5,5,0,2
2018-01-01,A,A5,6,0,2
2018-01-01,A,A5,7,0,2
2018-01-01,A,A5,8,0,2
2018-01-01,A,A5,9,0,2
2018-01-01,A,A5,10,0,2
2018-01-01,A,A5,11,0,2
2018-01-01,A,A5,12,0,2
2018-01-01,A,A5,13,0,2
2018-01-01,A,A5,14,0,2
2018-01-01,A,A5,15,0,2
2018-01-01,A,A5,16,0,2
2018-01-01,A,A5,17,0,2
2018-01-01,A,A5,18,2,2
2018-01-01,A,A5,19,7,2
2018-01-01,A,A5,20,8,2
2018-01-01,A,A5,21,16,2
2018-01-01,A,A5,22,14,2
2018-01-01,A,A5,23,13,2
2018-01-01,A,A5,24,11,2
2018-01-01,A,A5,25,4,2
2018-01-01,A,A5,26,9,2
2018-01-01,A,A5,27,7,2
2018-01-01,A,A5,28,6,2
2018-01-01,A,A5,29,7,2
2018-01-01,A,A5,30,7,2
2018-01-01,A,A5,31,11,2
2018-01-01,A,A5,32,4,2
2018-01-01,A,A5,33,3,2
2018-01-01,A,A5,34,2,2
2018-01-01,A,A5,35,1,2
2018-01-01,A,A5,36,0,2
2018-01-01,A,A5,37,0,2
2018-01-01,A,A5,38,0,2
2018-01-01,A,A5,39,0,2
2018-01-01,A,A5,40,0,2
2018-01-01,A,A5,41,0,2
2018-01-01,A,A5,42,0,2
2018-01-01,A,A5,43,0,2
2018-01-01,A,A5,44,0,2
2018-01-01,A,A5,45,0,2
2018-01-01,A,A5,46,0,2
2018-01-01,A,A5,47,0,2
2018-01-01,A,A5,48,0,2
2018-01-02,A,A5,1,0,0
2018-01-02,A,A5,2,0,0
2018-01-02,A,A5,3,0,0
2018-01-02,A,A5,4,0,0
2018-01-02,A,A5,5,0,0
2018-01-02,A,A5,6,0,0
2018-01-02,A,A5,7,0,0
2018-01-02,A,A5,8,0,0
2018-01-02,A,A5,9,0,0
2018-01-02,A,A5,10,0,0
2018-01-02,A,A5,11,0,0
2018-01-02,A,A5,12,0,0
2018-01-02,A,A5,13,0,0
2018-01-02,A,A5,14,0,0
2018-01-02,A,A5,15,0,0
2018-01-02,A,A5,16,0,0
2018-01-02,A,A5,17,0,0
2018-01-02,A,A5,18,10,0
2018-01-02,A,A5,19,31,0
2018-01-02,A,A5,20,32,0
2018-01-02,A,A5,21,27,0
2018-01-02,A,A5,22,24,0
2018-01-02,A,A5,23,19,0
2018-01-02,A,A5,24,20,0
2018-01-02,A,A5,25,14,0
2018-01-02,A,A5,26,9,0
2018-01-02,A,A5,27,23,0
2018-01-02,A,A5,28,20,0
2018-01-02,A,A5,29,29,0
2018-01-02,A,A5,30,23,0
2018-01-02,A,A5,31,20,0
2018-01-02,A,A5,32,13,0
2018-01-02,A,A5,33,19,0
