date,post_id,biz_type,periods,amount,wkd
2018-01-01,B,B1,1,0,2
2018-01-01,B,B1,2,0,2
2018-01-01,B,B1,3,0,2
2018-01-01,B,B1,4,0,2
2018-01-01,B,B1,5,0,2
2018-01-01,B,B1,6,0,2
2018-01-01,B,B1,7,0,2
2018-01-01,B,B1,8,0,2
2018-01-01,B,B1,9,0,2
2018-01-01,B,B1,10,0,2
2018-01-01,B,B1,11,0,2
2018-01-01,B,B1,12,0,2
2018-01-01,B,B1,13,0,2
2018-01-01,B,B1,14,0,2
2018-01-01,B,B1,15,0,2
2018-01-01,B,B1,16,0,2
2018-01-01,B,B1,17,0,2
2018-01-01,B,B1,18,0,2
2018-01-01,B,B1,19,0,2
2018-01-01,B,B1,20,0,2
2018-01-01,B,B1,21,0,2
2018-01-01,B,B1,22,0,2
2018-01-01,B,B1,23,0,2
2018-01-01,B,B1,24,0,2
2018-01-01,B,B1,25,0,2
2018-01-01,B,B1,26,0,2
2018-01-01,B,B1,27,0,2
2018-01-01,B,B1,28,0,2
2018-01-01,B,B1,29,0,2
2018-01-01,B,B1,30,0,2
2018-01-01,B,B1,31,0,2
2018-01-01,B,B1,32,0,2
2018-01-01,B,B1,33,0,2
2018-01-01,B,B1,34,0,2
2018-01-01,B,B1,35,0,2
2018-01-01,B,B1,36,0,2
2018-01-01,B,B1,37,0,2
2018-01-01,B,B1,38,0,2
2018-01-01,B,B1,39,0,2
2018-01-01,B,B1,40,0,2
2018-01-01,B,B1,41,0,2
2018-01-01,B,B1,42,0,2
2018-01-01,B,B1,43,0,2
2018-01-01,B,B1,44,0,2
2018-01-01,B,B1,45,0,2
2018-01-01,B,B1,46,0,2
2018-01-01,B,B1,47,0,2
2018-01-01,B,B1,48,0,2
2018-01-02,B,B1,1,0,0
2018-01-02,B,B1,2,0,0
2018-01-02,B,B1,3,0,0
2018-01-02,B,B1,4,0,0
2018-01-02,B,B1,5,0,0
2018-01-02,B,B1,6,0,0
2018-01-02,B,B1,7,0,0
2018-01-02,B,B1,8,0,0
2018-01-02,B,B1,9,0,0
2018-01-02,B,B1,10,0,0
2018-01-02,B,B1,11,0,0
2018-01-02,B,B1,12,0,0
2018-01-02,B,B1,13,0,0
2018-01-02,B,B1,14,0,0
2018-01-02,B,B1,15,0,0
2018-01-02,B,B1,16,0,0
2018-01-02,B,B1,17,8,0
2018-01-02,B,B1,18,88,0
2018-01-02,B,B1,19,219,0
2018-01-02,B,B1,20,255,0
2018-01-02,B,B1,21,308,0
2018-01-02,B,B1,22,362,0
2018-01-02,B,B1,23,363,0
2018-01-02,B,B1,24,388,0
2018-01-02,B,B1,25,174,0
2018-01-02,B,B1,26,75,0
2018-01-02,B,B1,27,80,0
2018-01-02,B,B1,28,335,0
2018-01-02,B,B1,29,542,0
2018-01-02,B,B1,30,683,0
2018-01-02,B,B1,31,505,0
2018-01-02,B,B1,32,632,0
2018-01-02,B,B1,33,561,0
2018-01-02,B,B1,34,446,0
2018-01-02,B,B1,35,263,0
2018-01-02,B,B1,36,145,0
2018-01-02,B,B1,37,159,0
2018-01-02,B,B1,38,25,0
2018-01-02,B,B1,39,10,0
2018-01-02,B,B1,40,0,0
2018-01-02,B,B1,41,0,0
2018-01-02,B,B1,42,0,0
2018-01-02,B,B1,43,0,0
2018-01-02,B,B1,44,0,0
2018-01-02,B,B1,45,0,0
2018-01-02,B,B1,46,0,0
2018-01-02,B,B1,47,0,0
2018-01-02,B,B1,48,0,0
2018-01-03,B,B1,1,0,0
2018-01-03,B,B1,2,0,0
2018-01-03,B,B1,3,0,0
2018-01-03,B,B1,4,0,0
2018-01-03,B,B1,5,0,0
2018-01-03,B,B1,6,0,0
2018-01-03,B,B1,7,0,0
2018-01-03,B,B1,8,0,0
2018-01-03,B,B1,9,0,0
2018-01-03,B,B1,10,0,0
2018-01-03,B,B1,11,0,0
2018-01-03,B,B1,12,0,0
2018-01-03,B,B1,13,0,0
2018-01-03,B,B1,14,0,0
2018-01-03,B,B1,15,2,0
2018-01-03,B,B1,16,71,0
2018-01-03,B,B1,17,111,0
2018-01-03,B,B1,18,25,0
2018-01-03,B,B1,19,217,0
2018-01-03,B,B1,20,350,0
2018-01-03,B,B1,21,292,0
2018-01-03,B,B1,22,324,0
2018-01-03,B,B1,23,389,0
2018-01-03,B,B1,24,277,0
2018-01-03,B,B1,25,171,0
2018-01-03,B,B1,26,75,0
2018-01-03,B,B1,27,73,0
2018-01-03,B,B1,28,289,0
2018-01-03,B,B1,29,423,0
2018-01-03,B,B1,30,420,0
2018-01-03,B,B1,31,470,0
2018-01-03,B,B1,32,488,0
2018-01-03,B,B1,33,486,0
2018-01-03,B,B1,34,347,0
2018-01-03,B,B1,35,225,0
2018-01-03,B,B1,36,119,0
2018-01-03,B,B1,37,87,0
2018-01-03,B,B1,38,8,0
2018-01-03,B,B1,39,2,0
2018-01-03,B,B1,40,1,0
2018-01-03,B,B1,41,0,0
2018-01-03,B,B1,42,1,0
2018-01-03,B,B1,43,0,0
2018-01-03,B,B1,44,0,0
2018-01-03,B,B1,45,0,0
2018-01-03,B,B1,46,0,0
2018-01-03,B,B1,47,0,0
2018-01-03,B,B1,48,0,0
2018-01-04,B,B1,1,0,0
2018-01-04,B,B1,2,0,0
2018-01-04,B,B1,3,0,0
2018-01-04,B,B1,4,0,0
2018-01-04,B,B1,5,0,0
2018-01-04,B,B1,6,0,0
2018-01-04,B,B1,7,0,0
2018-01-04,B,B1,8,0,0
2018-01-04,B,B1,9,0,0
2018-01-04,B,B1,10,0,0
2018-01-04,B,B1,11,0,0
2018-01-04,B,B1,12,0,0
2018-01-04,B,B1,13,0,0
2018-01-04,B,B1,14,2,0
2018-01-04,B,B1,15,0,0
2018-01-04,B,B1,16,0,0
2018-01-04,B,B1,17,68,0
2018-01-04,B,B1,18,83,0
2018-01-04,B,B1,19,205,0
2018-01-04,B,B1,20,302,0
2018-01-04,B,B1,21,325,0
2018-01-04,B,B1,22,335,0
2018-01-04,B,B1,23,342,0
2018-01-04,B,B1,24,369,0
2018-01-04,B,B1,25,162,0
2018-01-04,B,B1,26,88,0
2018-01-04,B,B1,27,122,0
2018-01-04,B,B1,28,254,0
2018-01-04,B,B1,29,401,0
2018-01-04,B,B1,30,598,0
2018-01-04,B,B1,31,506,0
2018-01-04,B,B1,32,562,0
2018-01-04,B,B1,33,458,0
2018-01-04,B,B1,34,396,0
2018-01-04,B,B1,35,214,0
2018-01-04,B,B1,36,127,0
2018-01-04,B,B1,37,76,0
2018-01-04,B,B1,38,29,0
2018-01-04,B,B1,39,2,0
2018-01-04,B,B1,40,1,0
2018-01-04,B,B1,41,1,0
2018-01-04,B,B1,42,0,0
2018-01-04,B,B1,43,0,0
2018-01-04,B,B1,44,0,0
2018-01-04,B,B1,45,0,0
2018-01-04,B,B1,46,0,0
2018-01-04,B,B1,47,0,0
2018-01-04,B,B1,48,0,0
2018-01-05,B,B1,1,0,0
2018-01-05,B,B1,2,0,0
2018-01-05,B,B1,3,0,0
2018-01-05,B,B1,4,0,0
2018-01-05,B,B1,5,0,0
2018-01-05,B,B1,6,0,0
2018-01-05,B,B1,7,0,0
2018-01-05,B,B1,8,0,0
2018-01-05,B,B1,9,0,0
2018-01-05,B,B1,10,0,0
2018-01-05,B,B1,11,0,0
2018-01-05,B,B1,12,0,0
2018-01-05,B,B1,13,0,0
2018-01-05,B,B1,14,0,0
2018-01-05,B,B1,15,0,0
2018-01-05,B,B1,16,16,0
2018-01-05,B,B1,17,1,0
2018-01-05,B,B1,18,60,0
2018-01-05,B,B1,19,216,0
2018-01-05,B,B1,20,387,0
2018-01-05,B,B1,21,327,0
2018-01-05,B,B1,22,341,0
