date,post_id,periods,amount
2020/12/1,A,1,0
2020/12/1,A,2,0
2020/12/1,A,3,0
2020/12/1,A,4,0
2020/12/1,A,5,0
2020/12/1,A,6,0
2020/12/1,A,7,0
2020/12/1,A,8,0
2020/12/1,A,9,0
2020/12/1,A,10,0
2020/12/1,A,11,0
2020/12/1,A,12,0
2020/12/1,A,13,0
2020/12/1,A,14,0
2020/12/1,A,15,0
2020/12/1,A,16,0
2020/12/1,A,17,0
2020/12/1,A,18,185
2020/12/1,A,19,1043
2020/12/1,A,20,1354
2020/12/1,A,21,1463
2020/12/1,A,22,1487
2020/12/1,A,23,1367
2020/12/1,A,24,1165
2020/12/1,A,25,953
2020/12/1,A,26,908
2020/12/1,A,27,909
2020/12/1,A,28,1027
2020/12/1,A,29,1272
2020/12/1,A,30,1412
2020/12/1,A,31,1459
2020/12/1,A,32,1443
2020/12/1,A,33,1306
2020/12/1,A,34,995
2020/12/1,A,35,397
2020/12/1,A,36,68
2020/12/1,A,37,0
2020/12/1,A,38,0
2020/12/1,A,39,0
2020/12/1,A,40,0
2020/12/1,A,41,0
2020/12/1,A,42,0
2020/12/1,A,43,0
2020/12/1,A,44,0
2020/12/1,A,45,0
2020/12/1,A,46,0
2020/12/1,A,47,0
2020/12/1,A,48,0
2020/12/1,B,1,0
2020/12/1,B,2,0
2020/12/1,B,3,0
2020/12/1,B,4,0
2020/12/1,B,5,0
2020/12/1,B,6,0
2020/12/1,B,7,0
2020/12/1,B,8,0
2020/12/1,B,9,0
2020/12/1,B,10,0
2020/12/1,B,11,0
2020/12/1,B,12,0
2020/12/1,B,13,0
2020/12/1,B,14,0
2020/12/1,B,15,0
2020/12/1,B,16,0
2020/12/1,B,17,0
2020/12/1,B,18,42
2020/12/1,B,19,91
2020/12/1,B,20,167
2020/12/1,B,21,178
2020/12/1,B,22,202
2020/12/1,B,23,201
2020/12/1,B,24,174
2020/12/1,B,25,107
2020/12/1,B,26,51
2020/12/1,B,27,68
2020/12/1,B,28,156
2020/12/1,B,29,215
2020/12/1,B,30,232
2020/12/1,B,31,224
2020/12/1,B,32,246
2020/12/1,B,33,249
2020/12/1,B,34,220
2020/12/1,B,35,170
2020/12/1,B,36,61
2020/12/1,B,37,0
2020/12/1,B,38,0
2020/12/1,B,39,0
2020/12/1,B,40,0
2020/12/1,B,41,0
2020/12/1,B,42,0
2020/12/1,B,43,0
2020/12/1,B,44,0
2020/12/1,B,45,0
2020/12/1,B,46,0
2020/12/1,B,47,0
2020/12/1,B,48,0
2020/12/2,A,1,0
2020/12/2,A,2,0
2020/12/2,A,3,0
2020/12/2,A,4,0
2020/12/2,A,5,0
2020/12/2,A,6,0
2020/12/2,A,7,0
2020/12/2,A,8,0
2020/12/2,A,9,0
2020/12/2,A,10,0
2020/12/2,A,11,0
2020/12/2,A,12,0
2020/12/2,A,13,0
2020/12/2,A,14,0
2020/12/2,A,15,0
2020/12/2,A,16,0
2020/12/2,A,17,0
2020/12/2,A,18,163
2020/12/2,A,19,957
2020/12/2,A,20,1240
2020/12/2,A,21,1336
2020/12/2,A,22,1372
2020/12/2,A,23,1283
2020/12/2,A,24,1072
2020/12/2,A,25,872
2020/12/2,A,26,827
2020/12/2,A,27,843
2020/12/2,A,28,949
2020/12/2,A,29,1154
2020/12/2,A,30,1312
2020/12/2,A,31,1355
2020/12/2,A,32,1353
2020/12/2,A,33,1226
2020/12/2,A,34,907
2020/12/2,A,35,351
2020/12/2,A,36,50
2020/12/2,A,37,0
2020/12/2,A,38,0
2020/12/2,A,39,0
2020/12/2,A,40,0
2020/12/2,A,41,0
2020/12/2,A,42,0
2020/12/2,A,43,0
2020/12/2,A,44,0
2020/12/2,A,45,0
2020/12/2,A,46,0
2020/12/2,A,47,0
2020/12/2,A,48,0
2020/12/2,B,1,0
2020/12/2,B,2,0
2020/12/2,B,3,0
2020/12/2,B,4,0
2020/12/2,B,5,0
2020/12/2,B,6,0
2020/12/2,B,7,0
2020/12/2,B,8,0
2020/12/2,B,9,0
2020/12/2,B,10,0
2020/12/2,B,11,0
2020/12/2,B,12,0
2020/12/2,B,13,0
2020/12/2,B,14,0
2020/12/2,B,15,0
2020/12/2,B,16,0
2020/12/2,B,17,0
2020/12/2,B,18,40
2020/12/2,B,19,98
2020/12/2,B,20,174
2020/12/2,B,21,153
2020/12/2,B,22,186
2020/12/2,B,23,202
2020/12/2,B,24,183
2020/12/2,B,25,110
2020/12/2,B,26,53
2020/12/2,B,27,64
2020/12/2,B,28,155
2020/12/2,B,29,208
2020/12/2,B,30,216
2020/12/2,B,31,223
2020/12/2,B,32,231
2020/12/2,B,33,241
2020/12/2,B,34,214
2020/12/2,B,35,167
2020/12/2,B,36,61
2020/12/2,B,37,0
2020/12/2,B,38,0
2020/12/2,B,39,0
2020/12/2,B,40,0
2020/12/2,B,41,0
2020/12/2,B,42,0
2020/12/2,B,43,0
2020/12/2,B,44,0
2020/12/2,B,45,0
2020/12/2,B,46,0
2020/12/2,B,47,0
2020/12/2,B,48,0
2020/12/3,A,1,0
2020/12/3,A,2,0
2020/12/3,A,3,0
2020/12/3,A,4,0
2020/12/3,A,5,0
2020/12/3,A,6,0
2020/12/3,A,7,0
2020/12/3,A,8,0
2020/12/3,A,9,0
2020/12/3,A,10,0
2020/12/3,A,11,0
2020/12/3,A,12,0
2020/12/3,A,13,0
2020/12/3,A,14,0
2020/12/3,A,15,0
2020/12/3,A,16,0
2020/12/3,A,17,0
2020/12/3,A,18,155
2020/12/3,A,19,948
2020/12/3,A,20,1223
2020/12/3,A,21,1312
2020/12/3,A,22,1349
2020/12/3,A,23,1258
2020/12/3,A,24,1061
2020/12/3,A,25,858
2020/12/3,A,26,801
2020/12/3,A,27,823
2020/12/3,A,28,949
2020/12/3,A,29,1160
2020/12/3,A,30,1317
2020/12/3,A,31,1337
2020/12/3,A,32,1325
2020/12/3,A,33,1214
2020/12/3,A,34,910
2020/12/3,A,35,354
2020/12/3,A,36,55
2020/12/3,A,37,0
2020/12/3,A,38,0
2020/12/3,A,39,0
2020/12/3,A,40,0
2020/12/3,A,41,0
2020/12/3,A,42,0
2020/12/3,A,43,0
2020/12/3,A,44,0
2020/12/3,A,45,0
2020/12/3,A,46,0
2020/12/3,A,47,0
2020/12/3,A,48,0
2020/12/3,B,1,0
2020/12/3,B,2,0
2020/12/3,B,3,0
2020/12/3,B,4,0
2020/12/3,B,5,0
2020/12/3,B,6,0
2020/12/3,B,7,0
2020/12/3,B,8,0
2020/12/3,B,9,0
2020/12/3,B,10,0
2020/12/3,B,11,0
2020/12/3,B,12,0
2020/12/3,B,13,0
2020/12/3,B,14,0
2020/12/3,B,15,0
2020/12/3,B,16,0
2020/12/3,B,17,0
2020/12/3,B,18,41
2020/12/3,B,19,98
2020/12/3,B,20,177
2020/12/3,B,21,159
2020/12/3,B,22,187
2020/12/3,B,23,207
2020/12/3,B,24,185
2020/12/3,B,25,106
2020/12/3,B,26,51
2020/12/3,B,27,63
2020/12/3,B,28,158
2020/12/3,B,29,211
2020/12/3,B,30,209
2020/12/3,B,31,228
2020/12/3,B,32,242
2020/12/3,B,33,255
2020/12/3,B,34,226
2020/12/3,B,35,168
2020/12/3,B,36,62
2020/12/3,B,37,0
2020/12/3,B,38,0
2020/12/3,B,39,0
2020/12/3,B,40,0
2020/12/3,B,41,0
2020/12/3,B,42,0
2020/12/3,B,43,0
2020/12/3,B,44,0
2020/12/3,B,45,0
2020/12/3,B,46,0
2020/12/3,B,47,0
2020/12/3,B,48,0
