date,post_id,periods,amount
2020/12/1,A,1,0
2020/12/1,A,2,0
2020/12/1,A,3,0
2020/12/1,A,4,0
2020/12/1,A,5,0
2020/12/1,A,6,0
2020/12/1,A,7,0
2020/12/1,A,8,0
2020/12/1,A,9,0
2020/12/1,A,10,0
2020/12/1,A,11,0
2020/12/1,A,12,0
2020/12/1,A,13,0
2020/12/1,A,14,0
2020/12/1,A,15,0
2020/12/1,A,16,0
2020/12/1,A,17,0
2020/12/1,A,18,199
2020/12/1,A,19,1040
2020/12/1,A,20,1302
2020/12/1,A,21,1378
2020/12/1,A,22,1393
2020/12/1,A,23,1310
2020/12/1,A,24,1141
2020/12/1,A,25,968
2020/12/1,A,26,944
2020/12/1,A,27,933
2020/12/1,A,28,1025
2020/12/1,A,29,1220
2020/12/1,A,30,1335
2020/12/1,A,31,1375
2020/12/1,A,32,1362
2020/12/1,A,33,1263
2020/12/1,A,34,1011
2020/12/1,A,35,416
2020/12/1,A,36,71
2020/12/1,A,37,0
2020/12/1,A,38,0
2020/12/1,A,39,0
2020/12/1,A,40,0
2020/12/1,A,41,0
2020/12/1,A,42,0
2020/12/1,A,43,0
2020/12/1,A,44,0
2020/12/1,A,45,0
2020/12/1,A,46,0
2020/12/1,A,47,0
2020/12/1,A,48,0
2020/12/1,B,1,0
2020/12/1,B,2,0
2020/12/1,B,3,0
2020/12/1,B,4,0
2020/12/1,B,5,0
2020/12/1,B,6,0
2020/12/1,B,7,0
2020/12/1,B,8,0
2020/12/1,B,9,0
2020/12/1,B,10,0
2020/12/1,B,11,0
2020/12/1,B,12,0
2020/12/1,B,13,0
2020/12/1,B,14,0
2020/12/1,B,15,0
2020/12/1,B,16,0
2020/12/1,B,17,0
2020/12/1,B,18,42
2020/12/1,B,19,97
2020/12/1,B,20,171
2020/12/1,B,21,164
2020/12/1,B,22,201
2020/12/1,B,23,192
2020/12/1,B,24,173
2020/12/1,B,25,120
2020/12/1,B,26,74
2020/12/1,B,27,89
2020/12/1,B,28,155
2020/12/1,B,29,206
2020/12/1,B,30,217
2020/12/1,B,31,219
2020/12/1,B,32,232
2020/12/1,B,33,242
2020/12/1,B,34,228
2020/12/1,B,35,185
2020/12/1,B,36,70
2020/12/1,B,37,0
2020/12/1,B,38,0
2020/12/1,B,39,0
2020/12/1,B,40,0
2020/12/1,B,41,0
2020/12/1,B,42,0
2020/12/1,B,43,0
2020/12/1,B,44,0
2020/12/1,B,45,0
2020/12/1,B,46,0
2020/12/1,B,47,0
2020/12/1,B,48,0
2020/12/2,A,1,0
2020/12/2,A,2,0
2020/12/2,A,3,0
2020/12/2,A,4,0
2020/12/2,A,5,0
2020/12/2,A,6,0
2020/12/2,A,7,0
2020/12/2,A,8,0
2020/12/2,A,9,0
2020/12/2,A,10,0
2020/12/2,A,11,0
2020/12/2,A,12,0
2020/12/2,A,13,0
2020/12/2,A,14,0
2020/12/2,A,15,0
2020/12/2,A,16,0
2020/12/2,A,17,0
2020/12/2,A,18,184
2020/12/2,A,19,978
2020/12/2,A,20,1217
2020/12/2,A,21,1295
2020/12/2,A,22,1322
2020/12/2,A,23,1252
2020/12/2,A,24,1078
2020/12/2,A,25,917
2020/12/2,A,26,898
2020/12/2,A,27,905
2020/12/2,A,28,975
2020/12/2,A,29,1152
2020/12/2,A,30,1269
2020/12/2,A,31,1293
2020/12/2,A,32,1293
2020/12/2,A,33,1202
2020/12/2,A,34,939
2020/12/2,A,35,384
2020/12/2,A,36,61
2020/12/2,A,37,0
2020/12/2,A,38,0
2020/12/2,A,39,0
2020/12/2,A,40,0
2020/12/2,A,41,0
2020/12/2,A,42,0
2020/12/2,A,43,0
2020/12/2,A,44,0
2020/12/2,A,45,0
2020/12/2,A,46,0
2020/12/2,A,47,0
2020/12/2,A,48,0
2020/12/2,B,1,0
2020/12/2,B,2,0
2020/12/2,B,3,0
2020/12/2,B,4,0
2020/12/2,B,5,0
2020/12/2,B,6,0
2020/12/2,B,7,0
2020/12/2,B,8,0
2020/12/2,B,9,0
2020/12/2,B,10,0
2020/12/2,B,11,0
2020/12/2,B,12,0
2020/12/2,B,13,0
2020/12/2,B,14,0
2020/12/2,B,15,0
2020/12/2,B,16,0
2020/12/2,B,17,0
2020/12/2,B,18,43
2020/12/2,B,19,101
2020/12/2,B,20,176
2020/12/2,B,21,150
2020/12/2,B,22,188
2020/12/2,B,23,192
2020/12/2,B,24,177
2020/12/2,B,25,121
2020/12/2,B,26,71
2020/12/2,B,27,85
2020/12/2,B,28,152
2020/12/2,B,29,205
2020/12/2,B,30,210
2020/12/2,B,31,224
2020/12/2,B,32,224
2020/12/2,B,33,240
2020/12/2,B,34,228
2020/12/2,B,35,184
2020/12/2,B,36,71
2020/12/2,B,37,0
2020/12/2,B,38,0
2020/12/2,B,39,0
2020/12/2,B,40,0
2020/12/2,B,41,0
2020/12/2,B,42,0
2020/12/2,B,43,0
2020/12/2,B,44,0
2020/12/2,B,45,0
2020/12/2,B,46,0
2020/12/2,B,47,0
2020/12/2,B,48,0
2020/12/3,A,1,0
2020/12/3,A,2,0
2020/12/3,A,3,0
2020/12/3,A,4,0
2020/12/3,A,5,0
2020/12/3,A,6,0
2020/12/3,A,7,0
2020/12/3,A,8,0
2020/12/3,A,9,0
2020/12/3,A,10,0
2020/12/3,A,11,0
2020/12/3,A,12,0
2020/12/3,A,13,0
2020/12/3,A,14,0
2020/12/3,A,15,0
2020/12/3,A,16,0
2020/12/3,A,17,0
2020/12/3,A,18,180
2020/12/3,A,19,974
2020/12/3,A,20,1212
2020/12/3,A,21,1288
2020/12/3,A,22,1306
2020/12/3,A,23,1234
2020/12/3,A,24,1065
2020/12/3,A,25,910
2020/12/3,A,26,880
2020/12/3,A,27,892
2020/12/3,A,28,966
2020/12/3,A,29,1153
2020/12/3,A,30,1266
2020/12/3,A,31,1271
2020/12/3,A,32,1263
2020/12/3,A,33,1187
2020/12/3,A,34,932
2020/12/3,A,35,382
2020/12/3,A,36,60
2020/12/3,A,37,0
2020/12/3,A,38,0
2020/12/3,A,39,0
2020/12/3,A,40,0
2020/12/3,A,41,0
2020/12/3,A,42,0
2020/12/3,A,43,0
2020/12/3,A,44,0
2020/12/3,A,45,0
2020/12/3,A,46,0
2020/12/3,A,47,0
2020/12/3,A,48,0
2020/12/3,B,1,0
2020/12/3,B,2,0
2020/12/3,B,3,0
2020/12/3,B,4,0
2020/12/3,B,5,0
2020/12/3,B,6,0
2020/12/3,B,7,0
2020/12/3,B,8,0
2020/12/3,B,9,0
2020/12/3,B,10,0
2020/12/3,B,11,0
2020/12/3,B,12,0
2020/12/3,B,13,0
2020/12/3,B,14,0
2020/12/3,B,15,0
2020/12/3,B,16,0
2020/12/3,B,17,0
2020/12/3,B,18,44
2020/12/3,B,19,104
2020/12/3,B,20,180
2020/12/3,B,21,150
2020/12/3,B,22,189
2020/12/3,B,23,198
2020/12/3,B,24,177
2020/12/3,B,25,117
2020/12/3,B,26,68
2020/12/3,B,27,83
2020/12/3,B,28,157
2020/12/3,B,29,204
2020/12/3,B,30,202
2020/12/3,B,31,226
2020/12/3,B,32,229
2020/12/3,B,33,244
2020/12/3,B,34,233
2020/12/3,B,35,188
2020/12/3,B,36,73
2020/12/3,B,37,0
2020/12/3,B,38,0
2020/12/3,B,39,0
2020/12/3,B,40,0
2020/12/3,B,41,0
2020/12/3,B,42,0
2020/12/3,B,43,0
2020/12/3,B,44,0
2020/12/3,B,45,0
2020/12/3,B,46,0
2020/12/3,B,47,0
2020/12/3,B,48,0
